result,discipline,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
26:11.00,"10,000m",,UGA,Valencia,ESP,2020-10-07,Joshua Cheptegei,1996,men,Outdoor
2:11.96,1000m,,KEN,Rieti,ITA,1999-09-05,Noah Ngeny,1978,men,Outdoor
9.58,100m,+0.9,JAM,Berlin,GER,2009-08-16,Usain Bolt,1986,men,Outdoor
26:24,"10km, Road",,KEN,Valencia,ESP,2020-01-12,Rhonex Kipruto,1999,men,Outdoor
12.80,110m Hurdles,+0.3,USA,Bruxelles,BEL,2012-09-07,Aries Merritt,1985,men,Outdoor
3:26.00,1500m,,MAR,Roma,ITA,1998-07-14,Hicham El Guerrouj,1974,men,Outdoor
4:43.13,2000m,,NOR,Bruxelles,BEL,2023-09-08,Jakob Ingebrigtsen,2000,men,Outdoor
19.19,200m,-0.3,JAM,Berlin,GER,2009-08-20,Usain Bolt,1986,men,Outdoor
1:16:36,20km Race Walk,,JPN,Nomi,JPN,2015-03-15,Yusuke Suzuki,1988,men,Outdoor
7:20.67,3000m,,KEN,Rieti,ITA,1996-09-01,Daniel Komen,1976,men,Outdoor
7:53.63,3000m Steeplechase,,QAT,Bruxelles,BEL,2004-09-03,Saif Saeed Shaheen,1982,men,Outdoor
2:21:31,35km Race Walk,,RUS,Adler,RUS,2006-02-19,Vladimir Kanaykin,1985,men,Outdoor
36.84,4 x 100m,,JAM,London,GBR,2012-08-11,Jamaica,,men,Outdoor
2:54.29,4 x 400m,,USA,Stuttgart,GER,1993-08-22,United States,,men,Outdoor
3:09.34,4 x 400m Mixed relay,,USA,Doha,QAT,2019-09-29,United States,,men,Outdoor
43.03,400m,,RSA,Río de Janeiro,BRA,2016-08-14,Wayde van Niekerk,1992,men,Outdoor
45.94,400m Hurdles,,NOR,Tokyo,JPN,2021-08-03,Karsten Warholm,1996,men,Outdoor
12:35.36,5000m,,UGA,Monaco,MON,2020-08-14,Joshua Cheptegei,1996,men,Outdoor
3:32:33,50km Race Walk,,FRA,Zürich,SUI,2014-08-15,Yohann Diniz,1978,men,Outdoor
12:51,"5km, Road",,UGA,Monaco,MON,2020-02-16,Joshua Cheptegei,1996,men,Outdoor
1:40.91,800m,,KEN,London,GBR,2012-08-09,David Rudisha,1988,men,Outdoor
9126,Decathlon,,FRA,Talence,FRA,2018-09-16,Kevin Mayer,1992,men,Outdoor
74.08,Discus Throw,,GER,Neubrandenburg,GER,1986-06-06,Jürgen Schult,1960,men,Outdoor
